plant,axis,metamer,organ,element,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,is_growing,length
1,MS,1,blade,LeafElement1,1.162512,14.112432,0.00003312,0.006624,0,15.8976,0.00024,False,0.082132
1,MS,1,sheath,StemElement,6.5052234,78.9708174,0.000185334,0.0370668,0,88.96032,0.0002686,False,0.028531
1,MS,2,blade,LeafElement1,1.356264,16.464504,0.00003864,0.007728,0,18.5472,0.00028,False,0.092306
1,MS,2,sheath,StemElement,0.11407149,1.38478239,3.25E-06,0.00064998,0,1.559952,4.71E-06,False,0.028531
1,MS,2,sheath,HiddenElement,6.5052234,78.9708174,0.000185334,0.0370668,0,88.96032,0.000248,False,0.0002
1,MS,3,blade,LeafElement1,1.212992645,14.72524689,3.46E-05,0.006911639,0,16.5879336,0.000250422,False,0.087784
1,MS,3,sheath,StemElement,1.31920893,16.01467023,3.76E-05,0.00751686,0,18.040464,3.69E-05,True,0.005447
1,MS,4,blade,LeafElement1,0.305089036,3.703659206,8.69E-06,1.74E-03,0,4.172157754,6.30E-05,True,0.025287473
