plant,axis,metamer,leaf_is_growing,hgz_L,leaf_L,delta_leaf_L,leaf_Lmax,leaf_Lem_prev,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,SSSW,leaf_is_emerged,sucrose,amino_acids,fructan,hgz_mstruct
1,MS,4,True,0.024350,0.047265,0.000629,0.135000,0.001000,0.098150,0.036850,0.007894,0.000028,0.000138,True,10.000000,1.500000,0.150000,0.005000
1,MS,5,True,0.023350,0.001020,0.000020,0.160000,0.001000,0.113900,0.046100,0.006562,0.000027,0.000136,False,0.030000,0.003000,0.030000,0.000013
1,MS,6,True,0.023350,0.000041,0.000001,NA,NA,NA,NA,NA,NA,NA,False,0.001000,0.000200,0.000000,0.000000
